number,year,corr1,corr2,corr3,corr4,corr5,corr6,corr7,corr8,corr9,corr10,corr11,corr12,corr13,corr14,corr15
118,2016,degenerative*executive*uncinate_lh,degenerative*executive*uncinate_rh,,,,,,,,,,,,,
119,2016,controls*attention*SLF3_rh,controls*executive*projection_rh,controls*executive*CC,,,,,,,,,,,,
120,2016,degenerative*language*cingulum_lh,degenerative*language*cingulum_rh,degenerative*language*CST_lh,degenerative*language*CST_rh,degenerative*language*ILF_lh,degenerative*language*ILF_rh,degenerative*language*SLF_lh,degenerative*language*SLF_rh,degenerative*language*uncinate_lh,degenerative*language*uncinate_rh,,,,,
122,2016,neurodevelopmental*symptoms*uncinate_lh,neurodevelopmental*language*AF_lh,neurodevelopmental*language*uncinate_lh,,,,,,,,,,,,
123,2016,controls*social*ILF_lh,controls*social*ILF_rh,controls*social*IFOF_lh,controls*social*IFOF_rh,controls*memory*ILF_rh,controls*memory*IFOF_lh,controls*memory*IFOF_rh,,,,,,,,
125,2016,controls*motor*cingulum_rh,,,,,,,,,,,,,,
126,2016,degenerative*motor*CST_ukn,degenerative*motor*thalamic_ukn,,,,,,,,,,,,,
127,2016,controls*memory*fornix,,,,,,,,,,,,,,
128,2016,controls*reward*accumbofrontal_rh,,,,,,,,,,,,,,
130,2016,neurological*motor*CST_lh,neurological*motor*CST_rh,,,,,,,,,,,,,
131,2016,controls*memory*striatal_rh,controls*memory*uncinate_rh,controls*memory*ILF_lh,controls*memory*striatal_lh,controls*attention*striatal_rh,controls*attention*striatal_lh,,,,,,,,,
132,2016,controls*motor*cingulum_lh,,,,,,,,,,,,,,
135,2016,psychiatric*symptoms*thalamic_lh,psychiatric*symptoms*thalamic_rh,,,,,,,,,,,,,
136,2015,neurological*symptoms*SLF2_lh,neurological*symptoms*SLF2_rh,neurological*symptoms*thalamic_rh,neurological*symptoms*thalamic_lh,,,,,,,,,,,
138,2016,psychiatric*symptoms*cingulum_ukn,,,,,,,,,,,,,,
139,2015,psychiatric*symptoms*CC,,,,,,,,,,,,,,
142,2016,degenerative*motor*CST_ukn,,,,,,,,,,,,,,
143,2016,psychiatric*symptoms*ILF_rh,,,,,,,,,,,,,,
144,2015,degenerative*motor*thalamic_rh,,,,,,,,,,,,,,
145,2015,neurological*executive*thalamic_rh,neurological*language*thalamic_rh,,,,,,,,,,,,,
146,2015,controls*memory*IFOF_rh,,,,,,,,,,,,,,
148,2016,psychiatric*symptoms*striatal_lh,psychiatric*symptoms*striatal_rh,,,,,,,,,,,,,
149,2015,neurological*executive*CC,,,,,,,,,,,,,,
150,2015,neurological*motor*projection_rh,,,,,,,,,,,,,,
151,2015,psychiatric*mood*fornix,psychiatric*mood*cingulum_rh,psychiatric*mood*IFOF_lh,psychiatric*mood*IFOF_rh,psychiatric*mood*projection_rh,,,,,,,,,,
152,2015,neurological*motor*Ufibers_ukn,neurological*motor*SLF3_ukn,,,,,,,,,,,,,
155,2015,degenerative*attention*thalamic_lh,degenerative*executive*thalamic_lh,neurological*memory*thalamic_lh,neurological*language*thalamic_lh,,,,,,,,,,,
156,2015,psychiatric*addiction*limbic_rh,,,,,,,,,,,,,,
158,2015,neurological*motor*CST_lh,neurological*motor*CST_rh,,,,,,,,,,,,,
162,2015,controls*memory*uncinate_lh,,,,,,,,,,,,,,
164,2015,controls*executive*striatal_rh,,,,,,,,,,,,,,
165,2015,neurological*symptoms*thalamic_lh,neurological*symptoms*thalamic_rh,,,,,,,,,,,,,
168,2015,neurological*motor*projection_lh,neurological*motor*projection_rh,,,,,,,,,,,,,
170,2015,degenerative*memory*uncinate_rh,degenerative*symptoms*uncinate_rh,,,,,,,,,,,,,
171,2015,psychiatric*symptoms*cingulum_ukn,,,,,,,,,,,,,,
172,2015,controls*sleep*SLF3_lh,controls*sleep*AFant_lh,,,,,,,,,,,,,
173,2015,psychiatric*symptoms*cingulum_rh,,,,,,,,,,,,,,
174,2014,neurological*memory*IFOF_lh,neurological*memory*IFOF_rh,controls*memory*thalamic_rh,,,,,,,,,,,,
175,2014,psychiatric*symptoms*ILF_lh,psychiatric*symptoms*CC,psychiatric*symptoms*AFlong_lh,psychiatric*symptoms*AFant_lh,psychiatric*symptoms*SLF3_lh,psychiatric*language*SLF3_lh,psychiatric*attention*SLF3_lh,,,,,,,,
176,2015,neurological*motor*CST_lh,neurological*motor*CST_rh,,,,,,,,,,,,,
177,2016,neurological*language*FAT_lh,,,,,,,,,,,,,,
179,2015,neurological*executive*cingulum_lh,neurological*executive*IFOF_lh,,,,,,,,,,,,,
182,2014,controls*attention*fornix,controls*attention*ILF_ukn,,,,,,,,,,,,,
183,2014,neurological*motor*cerebellar_lh,neurological*motor*cerebellar_rh,,,,,,,,,,,,,
184,2014,degenerative*motor*CST_ukn,,,,,,,,,,,,,,
185,2015,psychiatric*mood*limbic_lh,,,,,,,,,,,,,,
186,2014,neurological*motor*CC,,,,,,,,,,,,,,
187,2015,psychiatric*symptoms*cingulum_lh,psychiatric*symptoms*cingulum_rh,,,,,,,,,,,,,
189,2014,controls*language*AF_lh,controls*language*AF_rh,controls*language*uncinate_rh,,,,,,,,,,,,
190,2014,neurological*executive*cingulum_lh,neurological*executive*cingulum_rh,,,,,,,,,,,,,
191,2014,neurological*memory*thalamic_ukn,,,,,,,,,,,,,,
192,2014,degenerative*language*ILF_ukn,degenerative*language*SLF2_ukn,degenerative*language*SLF3_ukn,degenerative*language*AF_ukn,,,,,,,,,,,
193,2014,neurological*symptoms*cingulum_lh,,,,,,,,,,,,,,
194,2014,neurological*language*AFlong_rh,,,,,,,,,,,,,,
195,2014,psychiatric*symptoms*cingulum_rh,,,,,,,,,,,,,,
199,2015,controls*visual*fornix,,,,,,,,,,,,,,
200,2014,degenerative*executive*CST_ukn,degenerative*executive*cingulum_ukn,degenerative*executive*ILF_ukn,degenerative*executive*uncinate_ukn,degenerative*executive*CC,degenerative*sleep*cingulum_ukn,degenerative*sleep*AF_ukn,,,,,,,,
201,2015,degenerative*motor*CST_lh,degenerative*motor*CST_rh,degenerative*symptoms*CST_lh,degenerative*symptoms*CST_rh,,,,,,,,,,,
202,2014,neurological*executive*thalamic_ukn,neurological*executive*projection_ukn,,,,,,,,,,,,,
203,2014,neurological*language*IFOF_lh,,,,,,,,,,,,,,
204,2014,neurological*motor*CST_ukn,,,,,,,,,,,,,,
205,2014,degenerative*executive*cingulum_lh,degenerative*memory*cingulum_lh,degenerative*visual*cingulum_lh,degenerative*visual*cingulum_rh,,,,,,,,,,,
206,2014,controls*language*thalamic_lh,controls*motor*thalamic_rh,,,,,,,,,,,,,
208,2014,neurological*language*AFlong_lh,,,,,,,,,,,,,,
209,2013,neurodevelopmental*motor*striatal_ukn,,,,,,,,,,,,,,
211,2015,controls*language*uncinate_lh,,,,,,,,,,,,,,
212,2014,psychiatric*symptoms*uncinate_rh,psychiatric*symptoms*AFlong_rh,,,,,,,,,,,,,
213,2014,degenerative*motor*CC,degenerative*symptoms*CST_lh,,,,,,,,,,,,,
216,2014,controls*language*FAT_rh,,,,,,,,,,,,,,
219,2013,degenerative*symptoms*CC,,,,,,,,,,,,,,
221,2014,controls*memory*ILF_lh,controls*memory*ILF_rh,,,,,,,,,,,,,
222,2013,neurological*symptoms*CST_ukn,neurological*motor*cerebellar,neurological*motor*CC,,,,,,,,,,,,
223,2013,controls*language*AFlong_lh,,,,,,,,,,,,,,
224,2013,degenerative*language*FAT_lh,degenerative*language*uncinate_lh,,,,,,,,,,,,,
225,2014,degenerative*language*CC,degenerative*memory*CC,degenerative*visual*CC,degenerative*executive*CC,,,,,,,,,,,
226,2013,psychiatric*memory*cingulum_rh,psychiatric*memory*uncinate_rh,psychiatric*memory*ILF_lh,psychiatric*memory*ILF_rh,,,,,,,,,,,
227,2013,neurological*motor*CST_ukn,,,,,,,,,,,,,,
228,2013,degenerative*language*CC,degenerative*executive*CC,degenerative*executive*thalamic_rh,degenerative*executive*thalamic_lh,degenerative*symptoms*thalamic_lh,degenerative*symptoms*thalamic_rh,,,,,,,,,
229,2013,degenerative*symptoms*CST_lh,degenerative*symptoms*CST_rh,,,,,,,,,,,,,
230,2013,neurological*motor*CST_ukn,,,,,,,,,,,,,,
232,2013,psychiatric*executive*striatal_lh,psychiatric*executive*striatal_lh,,,,,,,,,,,,,
233,2013,degenerative*memory*CC,,,,,,,,,,,,,,
235,2013,neurological*motor*CST_ukn,,,,,,,,,,,,,,
236,2013,neurological*memory*cingulum_ukn,,,,,,,,,,,,,,
237,2013,psychiatric*addiction*cingulum_lh,,,,,,,,,,,,,,
238,2013,neurological*motor*CST_ukn,,,,,,,,,,,,,,
240,2014,controls*language*AFpos_lh,controls*language*AFpos_rh,,,,,,,,,,,,,
241,2012,neurological*memory*fornix,neurological*memory*cingulum_lh,,,,,,,,,,,,,
242,2014,neurological*attention*SLF2_lh,,,,,,,,,,,,,,
244,2013,psychiatric*symptoms*IFOF_rh,,,,,,,,,,,,,,
245,2012,neurological*symptoms*cingulum_ukn,,,,,,,,,,,,,,
247,2012,psychiatric*memory*projection_lh,psychiatric*memory*projection_rh,,,,,,,,,,,,,
248,2012,controls*executive*striatal_lh,controls*executive*striatal_rh,,,,,,,,,,,,,
252,2012,psychiatric*symptoms*fornix,,,,,,,,,,,,,,
254,2012,psychiatric*mood*cingulum_lh,psychiatric*mood*cingulum_rh,,,,,,,,,,,,,
256,2012,psychiatric*symptoms*cingulum_rh,psychiatric*symptoms*fornix,psychiatric*symptoms*uncinate_lh,,,,,,,,,,,,
257,2012,neurodevelopmental*language*AFlong_lh,neurodevelopmental*language*IFOF_lh,neurodevelopmental*language*AFpos_lh,,,,,,,,,,,,
259,2012,degenerative*memory*fornix,,,,,,,,,,,,,,
260,2012,psychiatric*symptoms*uncinate_rh,,,,,,,,,,,,,,
261,2012,neurological*motor*CST_ukn,,,,,,,,,,,,,,
262,2011,degenerative*executive*CC,degenerative*executive*ILF_rh,degenerative*executive*CST_lh,degenerative*executive*CST_rh,degenerative*executive*cingulum_lh,degenerative*executive*cingulum_rh,degenerative*executive*IFOF_lh,degenerative*executive*IFOF_rh,degenerative*executive*ILF_lh,degenerative*executive*uncinate_rh,degenerative*language*IFOF_rh,degenerative*language*cingulum_lh,degenerative*language*fornix,degenerative*memory*fornix,degenerative*attention*uncinate_lh
264,2012,neurological*motor*CST_lh,,,,,,,,,,,,,,
265,2012,degenerative*symptoms*CC,,,,,,,,,,,,,,
266,2012,controls*executive*striatal_rh,,,,,,,,,,,,,,
271,2011,degenerative*symptoms*CST_rh,degenerative*motor*CST_rh,,,,,,,,,,,,,
272,2011,controls*reward*striatal_rh,controls*reward*thalamic_lh,controls*reward*IFOF_lh,,,,,,,,,,,,
273,2011,neurological*language*AFlong_lh,neurological*language*IFOF_lh,,,,,,,,,,,,,
275,2011,psychiatric*reward*AC,psychiatric*symptoms*AC,,,,,,,,,,,,,
276,2011,psychiatric*symptoms*cingulum_lh,,,,,,,,,,,,,,
278,2011,degenerative*motor*cerebellar_ukn,,,,,,,,,,,,,,
279,2011,neurological*motor*CST_ukn,neurological*symptoms*CST_ukn,,,,,,,,,,,,,
280,2011,degenerative*motor*striatal_rh,,,,,,,,,,,,,,
281,2011,degenerative*symptoms*CST_ukn,degenerative*symptoms*IFOF_ukn,,,,,,,,,,,,,
283,2011,neurological*motor*CST_ukn,,,,,,,,,,,,,,
284,2011,controls*language*AFlong_rh,,,,,,,,,,,,,,
287,2010,neurological*motor*CST_ukn,,,,,,,,,,,,,,
288,2010,psychiatric*symptoms*uncinate_rh,psychiatric*symptoms*AF_lh,,,,,,,,,,,,,
289,2010,psychiatric*visual*CC,,,,,,,,,,,,,,
290,2010,degenerative*memory*CC,,,,,,,,,,,,,,
291,2011,neurodevelopmental*symptoms*CC,,,,,,,,,,,,,,
292,2010,controls*executive*uncinate_lh,controls*executive*cingulum_rh,,,,,,,,,,,,,
293,2010,degenerative*symptoms*striatal_lh,,,,,,,,,,,,,,
295,2011,controls*memory*striatal_lh,controls*memory*striatal_rh,controls*memory*limbic_rh,,,,,,,,,,,,
297,2010,psychiatric*symptoms*fornix,,,,,,,,,,,,,,
298,2010,degenerative*executive*cingulum_lh,,,,,,,,,,,,,,
299,2010,degenerative*symptoms*CST_lh,degenerative*symptoms*CST_rh,,,,,,,,,,,,,
300,2010,neurological*language*CST_rh,neurological*language*CST_lh,neurological*language*uncinate_rh,neurological*language*uncinate_lh,neurological*language*projection_lh,neurological*language*CC,,,,,,,,,
301,2010,degenerative*symptoms*CST_ukn,,,,,,,,,,,,,,
302,2010,degenerative*memory*uncinate_ukn,,,,,,,,,,,,,,
303,2010,degenerative*motor*CC,degenerative*executive*CC,,,,,,,,,,,,,
304,2009,neurological*motor*CST_ukn,,,,,,,,,,,,,,
305,2009,controls*auditory*AFant_rh,,,,,,,,,,,,,,
306,2009,neurological*executive*CC,,,,,,,,,,,,,,
307,2009,neurological*executive*uncinate_ukn,,,,,,,,,,,,,,
309,2009,psychiatric*symptoms*uncinate_lh,psychiatric*symptoms*uncinate_rh,,,,,,,,,,,,,
310,2009,psychiatric*executive*cingulum_lh,,,,,,,,,,,,,,
312,2009,neurological*symptoms*cerebellar_lh,neurological*symptoms*cerebellar_rh,,,,,,,,,,,,,
314,2009,neurodevelopmental*symptoms*thalamic_lh,,,,,,,,,,,,,,
315,2009,neurological*memory*limbic_ukn,,,,,,,,,,,,,,
316,2009,controls*memory*fornix,,,,,,,,,,,,,,
317,2009,psychiatric*symptoms*ILF_rh,,,,,,,,,,,,,,
318,2008,neurological*memory*uncinate_lh,neurological*memory*limbic_lh,neurological*language*AF_lh,neurological*language*AF_rh,,,,,,,,,,,
321,2009,neurological*memory*cingulum_ukn,,,,,,,,,,,,,,
322,2009,psychiatric*executive*cerebellar_ukn,,,,,,,,,,,,,,
324,2008,neurological*symptoms*CC,,,,,,,,,,,,,,
325,2008,psychiatric*language*fornix,,,,,,,,,,,,,,
328,2008,neurodevelopmental*social*cerebellar_lh,,,,,,,,,,,,,,
329,2008,psychiatric*addiction*CC,,,,,,,,,,,,,,
330,2008,psychiatric*symptoms*thalamic_rh,psychiatric*symptoms*thalamic_lh,psychiatric*symptoms*limbic_rh,psychiatric*symptoms*limbic_lh,,,,,,,,,,,
331,2008,psychiatric*executive*cingulum_lh,psychiatric*executive*cingulum_rh,psychiatric*memory*uncinate_lh,psychiatric*memory*uncinate_rh,,,,,,,,,,,
333,2007,controls*motor*CC,,,,,,,,,,,,,,
334,2006,neurological*symptoms*CST_lh,,,,,,,,,,,,,,
335,2005,neurological*executive*CC,,,,,,,,,,,,,,
336,2005,neurological*memory*cingulum_lh,neurological*memory*cingulum_rh,,,,,,,,,,,,,
337,2019,controls*attention*thalamic_lh,controls*attention*thalamic_rh,,,,,,,,,,,,,
338,2018,neurological*language*cingulum_rh,,,,,,,,,,,,,,
339,2018,neurodevelopmental*symptoms*Ufibers_lh,neurodevelopmental*symptoms*Ufibers_rh,,,,,,,,,,,,,
341,2018,psychiatric*motor*CST_lh,,,,,,,,,,,,,,
342,2018,neurological*language*ILF_lh,neurological*language*SLF3_lh,neurological*language*AFant_lh,,,,,,,,,,,,
343,2018,degenerative*motor*CST_rh,degenerative*executive*CC,degenerative*memory*thalamic_lh,degenerative*memory*limbic_lh,degenerative*memory*AFant_lh,degenerative*memory*AFant_rh,degenerative*memory*ILF_lh,degenerative*executive*AFant_lh,degenerative*executive*ILF_lh,degenerative*executive*ILF_rh,degenerative*executive*AFant_rh,,,,
344,2018,psychiatric*addiction*limbic_ukn,,,,,,,,,,,,,,
347,2018,controls*motor*AFpos_lh,controls*motor*AFpos_rh,controls*motor*VOF_lh,controls*motor*VOF_rh,,,,,,,,,,,
348,2018,controls*motor*CC,,,,,,,,,,,,,,
349,2018,psychiatric*symptoms*uncinate_rh,,,,,,,,,,,,,,
351,2017,controls*symptoms*limbic_lh,controls*symptoms*limbic_rh,,,,,,,,,,,,,
352,2017,controls*attention*fornix,controls*attention*cingulum_ukn,,,,,,,,,,,,,
353,2017,psychiatric*symptoms*uncinate_rh,psychiatric*symptoms*IFOF_rh,psychiatric*symptoms*IFOF_lh,psychiatric*symptoms*thalamic_rh,psychiatric*symptoms*ILF_rh,,,,,,,,,,
354,2017,controls*executive*striatal_lh,controls*executive*striatal_rh,,,,,,,,,,,,,
355,2017,controls*memory*projection_rh,controls*memory*projection_lh,,,,,,,,,,,,,
357,2017,degenerative*memory*uncinate_lh,degenerative*memory*fornix,,,,,,,,,,,,,
358,2017,neurological*symptoms*cingulum_rh,neurological*symptoms*AFlong_lh,neurological*language*CC,neurological*executive*uncinate_rh,neurological*executive*AFlong_rh,,,,,,,,,,
359,2017,psychiatric*language*MDLF_lh,,,,,,,,,,,,,,
360,2017,psychiatric*symptoms*uncinate_lh,,,,,,,,,,,,,,
362,2016,psychiatric*executive*fornix,,,,,,,,,,,,,,
364,2016,psychiatric*addiction*cingulum_lh,,,,,,,,,,,,,,
366,2016,controls*executive*thalamic_ukn,controls*motor*thalamic_ukn,controls*executive*AF_ukn,controls*motor*AF_ukn,controls*executive*ILF_ukn,controls*executive*IFOF_ukn,controls*executive*cingulum_ukn,controls*executive*CC,controls*language*IFOF_ukn,controls*language*cingulum_ukn,controls*language*CC,controls*motor*ILF_ukn,controls*motor*IFOF_ukn,controls*motor*CC,
367,2016,controls*memory*uncinate_lh,controls*memory*uncinate_rh,,,,,,,,,,,,,
368,2015,controls*executive*cingulum_ukn,,,,,,,,,,,,,,
369,2016,psychiatric*symptoms*limbic_rh,psychiatric*symptoms*cingulum_rh,,,,,,,,,,,,,
370,2015,psychiatric*symptoms*limbic_lh,psychiatric*symptoms*limbic_rh,,,,,,,,,,,,,
371,2015,neurological*symptoms*projection_ukn,,,,,,,,,,,,,,
372,2015,controls*attention*IFOF_rh,controls*attention*SLF2_rh,controls*attention*SLF3_rh,,,,,,,,,,,,
376,2015,controls*memory*thalamic_lh,controls*memory*thalamic_rh,,,,,,,,,,,,,
377,2015,degenerative*motor*projection_ukn,,,,,,,,,,,,,,
378,2015,neurological*language*IFOF_lh,neurological*language*ILF_lh,,,,,,,,,,,,,
379,2015,psychiatric*symptoms*AF_rh,psychiatric*symptoms*fornix,psychiatric*symptoms*CC,,,,,,,,,,,,
380,2015,psychiatric*symptoms*CC,psychiatric*symptoms*ILF_lh,psychiatric*symptoms*cingulum_lh,psychiatric*symptoms*projection_lh,,,,,,,,,,,
381,2014,psychiatric*symptoms*limbic_rh,,,,,,,,,,,,,,
382,2014,controls*language*CC,controls*language*IFOF_lh,controls*language*IFOF_rh,controls*language*uncinate_lh,,,,,,,,,,,
384,2014,neurological*symptoms*cerebellar_rh,neurological*symptoms*projection_rh,neurological*symptoms*CST_rh,neurological*executive*cerebellar_rh,neurological*executive*projection_rh,neurological*executive*CC,neurological*executive*fornix,,,,,,,,
385,2013,controls*executive*ILF_lh,controls*executive*thalamic_rh,controls*executive*uncinate_rh,controls*memory*AF_lh,,,,,,,,,,,
386,2014,psychiatric*symptoms*striatal_rh,,,,,,,,,,,,,,
387,2014,controls*executive*striatal_rh,,,,,,,,,,,,,,
388,2013,controls*auditory*projection_rh,controls*visual*projection_rh,,,,,,,,,,,,,
389,2013,neurodevelopmental*attention*IFOF_rh,,,,,,,,,,,,,,
390,2013,psychiatric*symptoms*MDLF_lh,psychiatric*symptoms*MDLF_rh,,,,,,,,,,,,,
391,2012,degenerative*language*cingulum_lh,degenerative*executive*cingulum_lh,,,,,,,,,,,,,
392,2012,psychiatric*symptoms*projection_ukn,,,,,,,,,,,,,,
393,2012,degenerative*memory*AFlong_lh,,,,,,,,,,,,,,
394,2012,degenerative*attention*uncinate_rh,degenerative*language*uncinate_lh,,,,,,,,,,,,,
395,2012,psychiatric*symptoms*fornix,psychiatric*symptoms*AFlong_rh,,,,,,,,,,,,,
396,2011,controls*memory*fornix,controls*memory*cingulum_lh,,,,,,,,,,,,,
