number,year,group
173,2015,psychiatric
174,2014,neurological
175,2014,psychiatric
176,2015,neurological
177,2016,neurological
179,2015,neurological
182,2014,healhy
183,2014,neurological
184,2014,degenerative
185,2015,psychiatric
186,2014,neurological
187,2015,psychiatric
189,2014,healhy
190,2014,neurological
191,2014,neurological
192,2014,degenerative
193,2014,neurological
194,2014,neurological
195,2014,psychiatric
199,2015,healhy
200,2014,degenerative
201,2015,degenerative
202,2014,neurological
203,2014,neurological
204,2014,neurological
205,2014,degenerative
206,2014,healhy
208,2014,neurological
209,2013,neurodevelopmental
211,2015,healhy
212,2014,psychiatric
213,2014,degenerative
216,2014,healhy
219,2013,degenerative
221,2014,healhy
222,2013,neurodevelopmental
223,2013,healhy
224,2013,degenerative
225,2014,degenerative
226,2013,psychiatric
227,2013,neurological
228,2013,degenerative
229,2013,degenerative
230,2013,neurological
232,2013,psychiatric
233,2013,degenerative
235,2013,neurological
236,2013,neurological
237,2013,psychiatric
238,2013,neurological
240,2014,healhy
241,2012,neurological
242,2014,neurological
244,2013,psychiatric
245,2012,neurological
247,2012,psychiatric
248,2012,healhy
252,2012,psychiatric
254,2012,psychiatric
256,2012,psychiatric
257,2012,neurodevelopmental
259,2012,degenerative
260,2012,psychiatric
261,2012,neurological
262,2011,degenerative
264,2012,neurological
265,2012,degenerative
266,2012,healhy
271,2011,degenerative
272,2011,healhy
273,2011,neurological
275,2011,psychiatric
276,2011,psychiatric
278,2011,degenerative
279,2011,neurological
280,2011,degenerative
281,2011,degenerative
283,2011,neurological
284,2011,healhy
287,2010,neurological
288,2010,psychiatric
289,2010,psychiatric
290,2010,degenerative
291,2011,neurodevelopmental
292,2010,healhy
293,2010,degenerative
295,2011,healhy
297,2010,psychiatric
298,2010,degenerative
299,2010,degenerative
300,2010,neurological
301,2010,degenerative
302,2010,degenerative
303,2010,degenerative
304,2009,neurological
305,2009,healhy
306,2009,neurological
307,2009,neurological
309,2009,psychiatric
310,2009,psychiatric
312,2009,neurological
314,2009,neurodevelopmental
315,2009,neurological
316,2009,psychiatric
317,2009,psychiatric
318,2008,neurological
321,2009,neurological
322,2009,psychiatric
324,2008,neurological
325,2008,psychiatric
328,2008,neurodevelopmental
329,2008,psychiatric
330,2008,psychiatric
331,2008,psychiatric
333,2007,healhy
334,2006,neurological
335,2005,neurological
336,2005,neurological
337,2019,healhy
338,2018,neurological
339,2018,neurodevelopmental
341,2018,psychiatric
342,2018,neurological
343,2018,degenerative
344,2018,psychiatric
347,2018,healhy
348,2018,healhy
349,2018,psychiatric
351,2017,healhy
352,2017,healhy
353,2017,psychiatric
354,2017,healhy
355,2017,healhy
357,2017,degenerative
358,2017,neurological
359,2017,psychiatric
360,2017,psychiatric
362,2016,psychiatric
364,2016,psychiatric
366,2016,healhy
367,2016,healhy
368,2015,healhy
369,2016,psychiatric
370,2015,psychiatric
371,2015,neurological
372,2015,healhy
376,2015,healhy
377,2015,degenerative
378,2015,neurological
379,2015,psychiatric
380,2015,psychiatric
381,2014,psychiatric
382,2014,healhy
384,2014,neurological
385,2013,healhy
386,2014,psychiatric
387,2014,healhy
388,2013,healhy
389,2013,neurodevelopmental
390,2013,psychiatric
391,2012,degenerative
392,2012,psychiatric
393,2012,degenerative
394,2012,degenerative
395,2012,psychiatric
396,2011,healhy
397,2012,neurodevelopmental
398,2011,degenerative
399,2010,neurological
402,2011,healhy
403,2011,healhy
406,2009,healhy
407,2009,healhy
408,2007,neurodevelopmental
409,2006,degenerative
410,2008,neurological
411,2008,psychiatric
414,2009,psychiatric
415,2009,degenerative
417,2011,degenerative
418,2011,healhy
419,2011,neurological
422,2012,neurological
424,2012,neurological
425,2012,neurological
426,2013,psychiatric
429,2013,neurological
431,2013,healhy
432,2013,healhy
433,2014,healhy
434,2014,neurological
435,2014,degenerative
436,2014,neurological
437,2014,psychiatric
438,2015,psychiatric
440,2015,neurological
441,2015,healhy
443,2015,degenerative
444,2015,healhy
445,2015,healhy
446,2015,degenerative
448,2015,healhy
449,2016,neurological
450,2016,degenerative
456,2016,neurodevelopmental
457,2016,healhy
458,2016,healhy
459,2016,degenerative
460,2016,degenerative
464,2017,neurological
